domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3.1-terminus | qwen3-235b-a22b-thinking-2507,deepseek-r1-0528 | deepseek-v3.1-terminus | qwen3-235b-a22b-thinking-2507,DeepSeek-R1 | DeepSeek-V3 | Qwen3-235B-A22B,none | none | none,500,0.456,0.286,0.17,0.143292,0.204783,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / qwen3-235b-a22b-thinking-2507: 0.306; deepseek-v3.1-terminus / qwen3-235b-a22b-thinking-2507: 0.345,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3.1-terminus | glm-4.6,deepseek-r1-0528 | deepseek-v3.1-terminus | glm-4.6,DeepSeek-R1 | DeepSeek-V3 | GLM-4.6,none | none | none,500,0.454,0.286,0.168,0.144028,0.202797,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / glm-4.6: 0.298; deepseek-v3.1-terminus / glm-4.6: 0.360,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3.1-terminus | kimi-k2-0905,deepseek-r1-0528 | deepseek-v3.1-terminus | kimi-k2-0905,DeepSeek-R1 | DeepSeek-V3 | Kimi K2,none | none | none,500,0.452,0.286,0.166,0.141801,0.187275,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / kimi-k2-0905: 0.361; deepseek-v3.1-terminus / kimi-k2-0905: 0.426,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3-0324 | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,deepseek-v3-0324 | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,DeepSeek-V3 | Kimi K2 | Qwen3-235B-A22B,none | none | none,500,0.414,0.25,0.164,0.109997,0.184286,deepseek-v3-0324 / kimi-k2-0905: 0.412; deepseek-v3-0324 / qwen3-235b-a22b-thinking-2507: 0.329; kimi-k2-0905 / qwen3-235b-a22b-thinking-2507: 0.345,yes; yes; yes,,A
repo_bugfix_model,3,kimi-k2-0905 | glm-4.6 | qwen3-235b-a22b-thinking-2507,kimi-k2-0905 | glm-4.6 | qwen3-235b-a22b-thinking-2507,Kimi K2 | GLM-4.6 | Qwen3-235B-A22B,none | none | none,500,0.396,0.234,0.162,0.120952,0.192982,kimi-k2-0905 / glm-4.6: 0.429; kimi-k2-0905 / qwen3-235b-a22b-thinking-2507: 0.345; glm-4.6 / qwen3-235b-a22b-thinking-2507: 0.362,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3.1-terminus | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,deepseek-v3.1-terminus | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,DeepSeek-V3 | Kimi K2 | Qwen3-235B-A22B,none | none | none,500,0.416,0.254,0.162,0.120213,0.176805,deepseek-v3.1-terminus / kimi-k2-0905: 0.426; deepseek-v3.1-terminus / qwen3-235b-a22b-thinking-2507: 0.345; kimi-k2-0905 / qwen3-235b-a22b-thinking-2507: 0.345,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3-0324 | qwen3-235b-a22b-thinking-2507,deepseek-r1-0528 | deepseek-v3-0324 | qwen3-235b-a22b-thinking-2507,DeepSeek-R1 | DeepSeek-V3 | Qwen3-235B-A22B,none | none | none,500,0.446,0.286,0.16,0.134252,0.188599,deepseek-r1-0528 / deepseek-v3-0324: 0.401; deepseek-r1-0528 / qwen3-235b-a22b-thinking-2507: 0.306; deepseek-v3-0324 / qwen3-235b-a22b-thinking-2507: 0.329,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3-0324 | kimi-k2-0905,deepseek-r1-0528 | deepseek-v3-0324 | kimi-k2-0905,DeepSeek-R1 | DeepSeek-V3 | Kimi K2,none | none | none,500,0.444,0.286,0.158,0.118964,0.186645,deepseek-r1-0528 / deepseek-v3-0324: 0.401; deepseek-r1-0528 / kimi-k2-0905: 0.361; deepseek-v3-0324 / kimi-k2-0905: 0.412,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3.1-terminus | glm-4.6 | qwen3-235b-a22b-thinking-2507,deepseek-v3.1-terminus | glm-4.6 | qwen3-235b-a22b-thinking-2507,DeepSeek-V3 | GLM-4.6 | Qwen3-235B-A22B,none | none | none,500,0.412,0.254,0.158,0.118228,0.172912,deepseek-v3.1-terminus / glm-4.6: 0.360; deepseek-v3.1-terminus / qwen3-235b-a22b-thinking-2507: 0.345; glm-4.6 / qwen3-235b-a22b-thinking-2507: 0.362,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,deepseek-r1-0528 | kimi-k2-0905 | qwen3-235b-a22b-thinking-2507,DeepSeek-R1 | Kimi K2 | Qwen3-235B-A22B,none | none | none,500,0.442,0.286,0.156,0.128501,0.18569,deepseek-r1-0528 / kimi-k2-0905: 0.361; deepseek-r1-0528 / qwen3-235b-a22b-thinking-2507: 0.306; kimi-k2-0905 / qwen3-235b-a22b-thinking-2507: 0.345,yes; yes; yes,,A
