domain,rank,system_id,model,avg_score,gap_to_1,n_common,tier,oss_classification_note,lineage,base_model,teacher
algorithmic_lcb,1,deepseek-r1-0528,deepseek-r1-0528,0.800948,0.0,1055,A,all tagged models are OSS/open-weights,base=DeepSeek-R1; teacher=none; DeepSeek-R1 open-weights reasoning family,DeepSeek-R1,none
algorithmic_lcb,2,qwen3-235b-a22b-thinking-2507,qwen3-235b-a22b-thinking-2507,0.783886,0.017062,1055,A,all tagged models are OSS/open-weights,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,Qwen3-235B-A22B,none
algorithmic_lcb,3,qwen3-235b-a22b-thinking,qwen3-235b-a22b-thinking,0.781043,0.019905,1055,A,all tagged models are OSS/open-weights,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,Qwen3-235B-A22B,none
algorithmic_lcb,4,intern-s1-new,intern-s1-new,0.756398,0.04455,1055,A,all tagged models are OSS/open-weights,base=Intern-S1; teacher=none; InternLM open-weights family,Intern-S1,none
algorithmic_lcb,5,Qwen3-8B,Qwen3-8B,0.676777,0.124171,1055,A,all tagged models are OSS/open-weights,base=Qwen3-8B; teacher=none; Qwen3 open-weights family,Qwen3-8B,none
algorithmic_lcb,6,deepseek-v3.1-terminus,deepseek-v3.1-terminus,0.672986,0.127962,1055,A,all tagged models are OSS/open-weights,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,DeepSeek-V3,none
algorithmic_lcb,7,kimi-k2-0905,kimi-k2-0905,0.672986,0.127962,1055,A,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
algorithmic_lcb,8,deepseek-v3-0324,deepseek-v3-0324,0.666351,0.134597,1055,A,all tagged models are OSS/open-weights,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,DeepSeek-V3,none
algorithmic_lcb,9,NVIDIA-Nemotron-Nano-9B-v2,NVIDIA-Nemotron-Nano-9B-v2,0.654976,0.145972,1055,A,all tagged models are OSS/open-weights,base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,Llama-3.1,NVIDIA Nemotron alignment (uncertain)
algorithmic_lcb,10,DeepSeek-R1-0528-Qwen3-8B,DeepSeek-R1-0528-Qwen3-8B,0.647393,0.153555,1055,A,all tagged models are OSS/open-weights,base=Qwen3-8B; teacher=DeepSeek-R1-0528; DeepSeek R1 distill on Qwen3-8B,Qwen3-8B,DeepSeek-R1-0528
algorithmic_lcb,11,qwen3-235b-a22b-2507,qwen3-235b-a22b-2507,0.641706,0.159242,1055,A,all tagged models are OSS/open-weights,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,Qwen3-235B-A22B,none
algorithmic_lcb,12,MiniCPM4.1-8B,MiniCPM4.1-8B,0.636967,0.163981,1055,A,all tagged models are OSS/open-weights,base=MiniCPM4.1-8B; teacher=none; MiniCPM open-weights family,MiniCPM4.1-8B,none
algorithmic_lcb,13,glm-4.6,glm-4.6,0.63128,0.169668,1055,A,all tagged models are OSS/open-weights,base=GLM-4.6; teacher=none; Z.ai GLM open-weights family,GLM-4.6,none
algorithmic_lcb,14,GLM-Z1-9B-0414,GLM-Z1-9B-0414,0.615166,0.185782,1055,A,all tagged models are OSS/open-weights,base=GLM-4-9B; teacher=GLM-Z1/RL (uncertain); Z.ai GLM-Z1 open reasoning family,GLM-4-9B,GLM-Z1/RL (uncertain)
algorithmic_lcb,15,qwen3-235b-a22b-no-thinking,qwen3-235b-a22b-no-thinking,0.50237,0.298578,1055,A,all tagged models are OSS/open-weights,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,Qwen3-235B-A22B,none
algorithmic_lcb,16,intern-s1,intern-s1,0.491943,0.309005,1055,A,all tagged models are OSS/open-weights,base=Intern-S1; teacher=none; InternLM open-weights family,Intern-S1,none
algorithmic_lcb,17,Llama-3.1-Nemotron-Nano-8B-v1,Llama-3.1-Nemotron-Nano-8B-v1,0.460664,0.340284,1055,A,all tagged models are OSS/open-weights,base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,Llama-3.1,NVIDIA Nemotron alignment (uncertain)
algorithmic_lcb,18,OpenThinker3-7B,OpenThinker3-7B,0.441706,0.359242,1055,A,all tagged models are OSS/open-weights,base=Qwen-family 7B (uncertain); teacher=DeepSeek-R1 (uncertain); open reasoning distill; exact base uncertain,Qwen-family 7B (uncertain),DeepSeek-R1 (uncertain)
algorithmic_lcb,19,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,0.411374,0.389573,1055,A,all tagged models are OSS/open-weights,base=Qwen/Qwen2.5 family 7B; teacher=DeepSeek-R1; DeepSeek R1 distill on Qwen 7B,Qwen/Qwen2.5 family 7B,DeepSeek-R1
algorithmic_lcb,20,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,0.278673,0.522275,1055,A,all tagged models are OSS/open-weights,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,Qwen2.5-Coder,none
algorithmic_lcb,21,Intern-S1-mini,Intern-S1-mini,0.262559,0.538389,1055,A,all tagged models are OSS/open-weights,base=Intern-S1-mini; teacher=none; InternLM open-weights family,Intern-S1-mini,none
algorithmic_lcb,22,internlm3-8b-instruct,internlm3-8b-instruct,0.212322,0.588626,1055,A,all tagged models are OSS/open-weights,base=InternLM3-8B; teacher=none; InternLM open-weights family,InternLM3-8B,none
algorithmic_lcb,23,cogito-v1-preview-llama-8B,cogito-v1-preview-llama-8B,0.172512,0.628436,1055,A,all tagged models are OSS/open-weights,base=Llama-3.x-8B; teacher=Cogito alignment (uncertain); Llama derivative,Llama-3.x-8B,Cogito alignment (uncertain)
algorithmic_lcb,24,gemma-2-9b-it,gemma-2-9b-it,0.172512,0.628436,1055,A,all tagged models are OSS/open-weights,base=Gemma-2-9B; teacher=none; Google Gemma open-weights family,Gemma-2-9B,none
algorithmic_lcb,25,glm-4-9b-chat,glm-4-9b-chat,0.16872,0.632227,1055,A,all tagged models are OSS/open-weights,base=GLM-4-9B; teacher=none; Z.ai GLM open-weights family,GLM-4-9B,none
algorithmic_lcb,26,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,0.167773,0.633175,1055,A,all tagged models are OSS/open-weights,base=Llama-3.1-8B; teacher=none; Meta Llama open-weights family,Llama-3.1-8B,none
algorithmic_lcb,27,granite-3.3-8b-instruct,granite-3.3-8b-instruct,0.14218,0.658768,1055,A,all tagged models are OSS/open-weights,base=Granite-3.3-8B; teacher=none; IBM Granite open-weights family,Granite-3.3-8B,none
algorithmic_lcb,28,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-UltraMedical,0.133649,0.667299,1055,A,all tagged models are OSS/open-weights,base=Llama-3.1-8B; teacher=UltraMedical fine-tune (uncertain); Llama derivative,Llama-3.1-8B,UltraMedical fine-tune (uncertain)
algorithmic_lcb,29,DeepHermes-3-Llama-3-8B-Preview,DeepHermes-3-Llama-3-8B-Preview,0.130806,0.670142,1055,A,all tagged models are OSS/open-weights,base=Llama-3-8B; teacher=Nous/Hermes synthetic data (uncertain); Llama derivative,Llama-3-8B,Nous/Hermes synthetic data (uncertain)
algorithmic_lcb,30,Fin-R1,Fin-R1,0.068246,0.732701,1055,A,all tagged models are OSS/open-weights,base=unknown; teacher=DeepSeek-R1 (uncertain); R1-style open fine-tune; base uncertain,unknown,DeepSeek-R1 (uncertain)
algorithmic_lcb,31,MiMo-7B-RL-0530,MiMo-7B-RL-0530,0.064455,0.736493,1055,A,all tagged models are OSS/open-weights,base=MiMo-7B; teacher=RL fine-tune (uncertain); open small reasoning model,MiMo-7B,RL fine-tune (uncertain)
