source_id,k,train_clusters,heldout_clusters,heldout_tasks,v_panel,baseline_panel,panels_identical,heldout_delta_v,heldout_delta_v_ci_low,heldout_delta_v_ci_high,heldout_delta_oracle,heldout_delta_best_single,capture_sensitivity,status,split_leakage
swe_verified,2,6,6,337,JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode] | TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code],TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code] | Sonar Foundation Agent + Claude 4.5 Opus [20251205_sonar-foundation-agent_claude-opus-4-5],False,-0.028783,-0.038854,-0.014789,-0.029674,-0.026706,capture=0.5: same (JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode]; TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code]); capture=0.9: same (JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode]; TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code]),fail,False
swe_verified,3,6,6,337,MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B] | JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode] | TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code],TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code] | Sonar Foundation Agent + Claude 4.5 Opus [20251205_sonar-foundation-agent_claude-opus-4-5] | 20251127_openhands_claude-opus-4-5 [20251127_openhands_claude-opus-4-5],False,-0.035015,-0.049426,-0.009383,-0.038576,-0.026706,capture=0.5: same (MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B]; JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode]; TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code]); capture=0.9: same (MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B]; JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode]; TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code]),fail,False
swe_test,2,6,6,1395,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5],Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE],True,0.0,0.0,0.0,0.0,0.0,capture=0.5: same (Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE]; Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5]); capture=0.9: same (Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE]; Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5]),selection agrees with baseline,False
swe_test,3,6,6,1395,SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5],Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev],False,-0.000502,-0.003288,0.008889,-0.000717,0.0,capture=0.5: same (SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219]; Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE]; Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5]); capture=0.9: same (SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219]; Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE]; Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5]),inconclusive,False
terminalbench,2,44,45,45,final :: claude-4.5-sonnet@anthropic | forge :: gemini-3.1-pro-preview@Google,Factory Droid :: gpt-5.3-codex@openai | forge :: gemini-3.1-pro-preview@Google,False,-0.012444,-0.065333,0.034244,-0.017778,0.0,capture=0.5: same (final :: claude-4.5-sonnet@anthropic; forge :: gemini-3.1-pro-preview@Google); capture=0.9: same (final :: claude-4.5-sonnet@anthropic; forge :: gemini-3.1-pro-preview@Google),inconclusive,False
terminalbench,3,44,45,45,claude-code-enhanced :: claude-opus-4-6@anthropic | final :: claude-4.5-sonnet@anthropic | forge :: gemini-3.1-pro-preview@Google,Factory Droid :: gpt-5.3-codex@openai | forge :: gemini-3.1-pro-preview@Google | terminus-3-3 :: claude-opus-4-6@anthropic,False,-0.002074,-0.046222,0.037359,-0.002963,0.0,capture=0.5: same (claude-code-enhanced :: claude-opus-4-6@anthropic; final :: claude-4.5-sonnet@anthropic; forge :: gemini-3.1-pro-preview@Google); capture=0.9: same (claude-code-enhanced :: claude-opus-4-6@anthropic; final :: claude-4.5-sonnet@anthropic; forge :: gemini-3.1-pro-preview@Google),inconclusive,False
llmrouterbench_livecodebench,2,527,528,528,deepseek-r1-0528 | gpt-5,gpt-5 | gemini-2.5-pro,False,0.002652,-0.005303,0.011932,0.003788,0.0,capture=0.5: same (deepseek-r1-0528; gpt-5); capture=0.9: same (deepseek-r1-0528; gpt-5),inconclusive,False
llmrouterbench_livecodebench,3,527,528,528,deepseek-r1-0528 | gemini-2.5-pro | gpt-5,gpt-5 | gemini-2.5-pro | deepseek-r1-0528,True,0.0,0.0,0.0,0.0,0.0,capture=0.5: same (deepseek-r1-0528; gemini-2.5-pro; gpt-5); capture=0.9: same (deepseek-r1-0528; gemini-2.5-pro; gpt-5),selection agrees with baseline,False
llmrouterbench_swebench,2,6,6,337,claude-opus-4.1 | gemini-2.5-pro,claude-opus-4.1 | claude-sonnet-4,False,0.020772,-0.040969,0.033006,0.029674,0.0,capture=0.5: same (claude-opus-4.1; gemini-2.5-pro); capture=0.9: same (claude-opus-4.1; gemini-2.5-pro),inconclusive,False
llmrouterbench_swebench,3,6,6,337,claude-opus-4.1 | deepseek-r1-0528 | gemini-2.5-pro,claude-opus-4.1 | claude-sonnet-4 | deepseek-r1-0528,False,0.020772,-0.016055,0.037692,0.029674,0.0,capture=0.5: same (claude-opus-4.1; deepseek-r1-0528; gemini-2.5-pro); capture=0.9: same (claude-opus-4.1; deepseek-r1-0528; gemini-2.5-pro),inconclusive,False
