domain,source_id,system_id,display_name,family,model_key,base_engine_normalized,classification,is_oss,reasoning,base_model,teacher,lineage,n_tasks,score_all_available_tasks
algorithmic_lcb,llmrouterbench_livecodebench,DeepHermes-3-Llama-3-8B-Preview,DeepHermes-3-Llama-3-8B-Preview,llmrouterbench,DeepHermes-3-Llama-3-8B-Preview,deephermes-3-llama-3-8b,oss,True,all tagged models are OSS/open-weights,Llama-3-8B,Nous/Hermes synthetic data (uncertain),base=Llama-3-8B; teacher=Nous/Hermes synthetic data (uncertain); Llama derivative,1055,0.130806
algorithmic_lcb,llmrouterbench_livecodebench,DeepSeek-R1-0528-Qwen3-8B,DeepSeek-R1-0528-Qwen3-8B,llmrouterbench,DeepSeek-R1-0528-Qwen3-8B,deepseek/deepseek-r1-qwen3-8b,oss,True,all tagged models are OSS/open-weights,Qwen3-8B,DeepSeek-R1-0528,base=Qwen3-8B; teacher=DeepSeek-R1-0528; DeepSeek R1 distill on Qwen3-8B,1055,0.647393
algorithmic_lcb,llmrouterbench_livecodebench,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,llmrouterbench,DeepSeek-R1-Distill-Qwen-7B,deepseek/deepseek-r1-distill-qwen-7b,oss,True,all tagged models are OSS/open-weights,Qwen/Qwen2.5 family 7B,DeepSeek-R1,base=Qwen/Qwen2.5 family 7B; teacher=DeepSeek-R1; DeepSeek R1 distill on Qwen 7B,1055,0.411374
algorithmic_lcb,llmrouterbench_livecodebench,Fin-R1,Fin-R1,llmrouterbench,Fin-R1,fin-r1,oss,True,all tagged models are OSS/open-weights,unknown,DeepSeek-R1 (uncertain),base=unknown; teacher=DeepSeek-R1 (uncertain); R1-style open fine-tune; base uncertain,1055,0.068246
algorithmic_lcb,llmrouterbench_livecodebench,GLM-Z1-9B-0414,GLM-Z1-9B-0414,llmrouterbench,GLM-Z1-9B-0414,zai/glm-z1-9b,oss,True,all tagged models are OSS/open-weights,GLM-4-9B,GLM-Z1/RL (uncertain),base=GLM-4-9B; teacher=GLM-Z1/RL (uncertain); Z.ai GLM-Z1 open reasoning family,1055,0.615166
algorithmic_lcb,llmrouterbench_livecodebench,Intern-S1-mini,Intern-S1-mini,llmrouterbench,Intern-S1-mini,internlm/intern-s1-mini,oss,True,all tagged models are OSS/open-weights,Intern-S1-mini,none,base=Intern-S1-mini; teacher=none; InternLM open-weights family,1055,0.262559
algorithmic_lcb,llmrouterbench_livecodebench,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,llmrouterbench,Llama-3.1-8B-Instruct,meta/llama-3.1-8b,oss,True,all tagged models are OSS/open-weights,Llama-3.1-8B,none,base=Llama-3.1-8B; teacher=none; Meta Llama open-weights family,1055,0.167773
algorithmic_lcb,llmrouterbench_livecodebench,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-UltraMedical,llmrouterbench,Llama-3.1-8B-UltraMedical,meta/llama-3.1-8b-ultramedical,oss,True,all tagged models are OSS/open-weights,Llama-3.1-8B,UltraMedical fine-tune (uncertain),base=Llama-3.1-8B; teacher=UltraMedical fine-tune (uncertain); Llama derivative,1055,0.133649
algorithmic_lcb,llmrouterbench_livecodebench,Llama-3.1-Nemotron-Nano-8B-v1,Llama-3.1-Nemotron-Nano-8B-v1,llmrouterbench,Llama-3.1-Nemotron-Nano-8B-v1,nvidia/llama-3.1-nemotron-nano,oss,True,all tagged models are OSS/open-weights,Llama-3.1,NVIDIA Nemotron alignment (uncertain),base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,1055,0.460664
algorithmic_lcb,llmrouterbench_livecodebench,MiMo-7B-RL-0530,MiMo-7B-RL-0530,llmrouterbench,MiMo-7B-RL-0530,mimo-7b,oss,True,all tagged models are OSS/open-weights,MiMo-7B,RL fine-tune (uncertain),base=MiMo-7B; teacher=RL fine-tune (uncertain); open small reasoning model,1055,0.064455
algorithmic_lcb,llmrouterbench_livecodebench,MiniCPM4.1-8B,MiniCPM4.1-8B,llmrouterbench,MiniCPM4.1-8B,minicpm4.1-8b,oss,True,all tagged models are OSS/open-weights,MiniCPM4.1-8B,none,base=MiniCPM4.1-8B; teacher=none; MiniCPM open-weights family,1055,0.636967
algorithmic_lcb,llmrouterbench_livecodebench,NVIDIA-Nemotron-Nano-9B-v2,NVIDIA-Nemotron-Nano-9B-v2,llmrouterbench,NVIDIA-Nemotron-Nano-9B-v2,nvidia-nemotron-nano-9b-v2,oss,True,all tagged models are OSS/open-weights,Llama-3.1,NVIDIA Nemotron alignment (uncertain),base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,1055,0.654976
algorithmic_lcb,llmrouterbench_livecodebench,OpenThinker3-7B,OpenThinker3-7B,llmrouterbench,OpenThinker3-7B,openthinker3-7b,oss,True,all tagged models are OSS/open-weights,Qwen-family 7B (uncertain),DeepSeek-R1 (uncertain),base=Qwen-family 7B (uncertain); teacher=DeepSeek-R1 (uncertain); open reasoning distill; exact base uncertain,1055,0.441706
algorithmic_lcb,llmrouterbench_livecodebench,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,llmrouterbench,Qwen2.5-Coder-7B-Instruct,qwen/qwen2.5-coder,oss,True,all tagged models are OSS/open-weights,Qwen2.5-Coder,none,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,1055,0.278673
algorithmic_lcb,llmrouterbench_livecodebench,Qwen3-8B,Qwen3-8B,llmrouterbench,Qwen3-8B,qwen/qwen3-8b,oss,True,all tagged models are OSS/open-weights,Qwen3-8B,none,base=Qwen3-8B; teacher=none; Qwen3 open-weights family,1055,0.676777
algorithmic_lcb,llmrouterbench_livecodebench,claude-sonnet-4,claude-sonnet-4,llmrouterbench,claude-sonnet-4,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.581043
algorithmic_lcb,llmrouterbench_livecodebench,cogito-v1-preview-llama-8B,cogito-v1-preview-llama-8B,llmrouterbench,cogito-v1-preview-llama-8B,cogito-v1-llama-8b,oss,True,all tagged models are OSS/open-weights,Llama-3.x-8B,Cogito alignment (uncertain),base=Llama-3.x-8B; teacher=Cogito alignment (uncertain); Llama derivative,1055,0.172512
algorithmic_lcb,llmrouterbench_livecodebench,deepseek-r1-0528,deepseek-r1-0528,llmrouterbench,deepseek-r1-0528,deepseek/deepseek-r1,oss,True,all tagged models are OSS/open-weights,DeepSeek-R1,none,base=DeepSeek-R1; teacher=none; DeepSeek-R1 open-weights reasoning family,1055,0.800948
algorithmic_lcb,llmrouterbench_livecodebench,deepseek-v3-0324,deepseek-v3-0324,llmrouterbench,deepseek-v3-0324,deepseek/deepseek-v3,oss,True,all tagged models are OSS/open-weights,DeepSeek-V3,none,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,1055,0.666351
algorithmic_lcb,llmrouterbench_livecodebench,deepseek-v3.1-terminus,deepseek-v3.1-terminus,llmrouterbench,deepseek-v3.1-terminus,deepseek/deepseek-v3,oss,True,all tagged models are OSS/open-weights,DeepSeek-V3,none,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,1055,0.672986
algorithmic_lcb,llmrouterbench_livecodebench,gemini-2.5-flash,gemini-2.5-flash,llmrouterbench,gemini-2.5-flash,google/gemini-2.5-flash,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.6
algorithmic_lcb,llmrouterbench_livecodebench,gemini-2.5-pro,gemini-2.5-pro,llmrouterbench,gemini-2.5-pro,google/gemini-2.5-pro,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.791469
