domain,rank,system_id,model,avg_score,gap_to_1,n_common,tier,oss_classification_note,lineage,base_model,teacher
mbpp_humaneval,1,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,0.762533,0.0,1137,A,all tagged models are OSS/open-weights,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,Qwen2.5-Coder,none
mbpp_humaneval,2,Fin-R1,Fin-R1,0.702726,0.059807,1137,A,all tagged models are OSS/open-weights,base=unknown; teacher=DeepSeek-R1 (uncertain); R1-style open fine-tune; base uncertain,unknown,DeepSeek-R1 (uncertain)
mbpp_humaneval,3,glm-4-9b-chat,glm-4-9b-chat,0.645558,0.116974,1137,A,all tagged models are OSS/open-weights,base=GLM-4-9B; teacher=none; Z.ai GLM open-weights family,GLM-4-9B,none
mbpp_humaneval,4,gemma-2-9b-it,gemma-2-9b-it,0.627968,0.134565,1137,A,all tagged models are OSS/open-weights,base=Gemma-2-9B; teacher=none; Google Gemma open-weights family,Gemma-2-9B,none
mbpp_humaneval,5,GLM-Z1-9B-0414,GLM-Z1-9B-0414,0.626209,0.136324,1137,A,all tagged models are OSS/open-weights,base=GLM-4-9B; teacher=GLM-Z1/RL (uncertain); Z.ai GLM-Z1 open reasoning family,GLM-4-9B,GLM-Z1/RL (uncertain)
mbpp_humaneval,6,Llama-3.1-Nemotron-Nano-8B-v1,Llama-3.1-Nemotron-Nano-8B-v1,0.617414,0.145119,1137,A,all tagged models are OSS/open-weights,base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,Llama-3.1,NVIDIA Nemotron alignment (uncertain)
mbpp_humaneval,7,internlm3-8b-instruct,internlm3-8b-instruct,0.613017,0.149516,1137,A,all tagged models are OSS/open-weights,base=InternLM3-8B; teacher=none; InternLM open-weights family,InternLM3-8B,none
mbpp_humaneval,8,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,0.608619,0.153914,1137,A,all tagged models are OSS/open-weights,base=Llama-3.1-8B; teacher=none; Meta Llama open-weights family,Llama-3.1-8B,none
mbpp_humaneval,9,MiMo-7B-RL-0530,MiMo-7B-RL-0530,0.562005,0.200528,1137,A,all tagged models are OSS/open-weights,base=MiMo-7B; teacher=RL fine-tune (uncertain); open small reasoning model,MiMo-7B,RL fine-tune (uncertain)
mbpp_humaneval,10,Qwen3-8B,Qwen3-8B,0.558487,0.204046,1137,A,all tagged models are OSS/open-weights,base=Qwen3-8B; teacher=none; Qwen3 open-weights family,Qwen3-8B,none
mbpp_humaneval,11,cogito-v1-preview-llama-8B,cogito-v1-preview-llama-8B,0.545295,0.217238,1137,A,all tagged models are OSS/open-weights,base=Llama-3.x-8B; teacher=Cogito alignment (uncertain); Llama derivative,Llama-3.x-8B,Cogito alignment (uncertain)
mbpp_humaneval,12,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-UltraMedical,0.542656,0.219877,1137,A,all tagged models are OSS/open-weights,base=Llama-3.1-8B; teacher=UltraMedical fine-tune (uncertain); Llama derivative,Llama-3.1-8B,UltraMedical fine-tune (uncertain)
mbpp_humaneval,13,DeepHermes-3-Llama-3-8B-Preview,DeepHermes-3-Llama-3-8B-Preview,0.5365,0.226033,1137,A,all tagged models are OSS/open-weights,base=Llama-3-8B; teacher=Nous/Hermes synthetic data (uncertain); Llama derivative,Llama-3-8B,Nous/Hermes synthetic data (uncertain)
mbpp_humaneval,14,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,0.524186,0.238347,1137,A,all tagged models are OSS/open-weights,base=Qwen/Qwen2.5 family 7B; teacher=DeepSeek-R1; DeepSeek R1 distill on Qwen 7B,Qwen/Qwen2.5 family 7B,DeepSeek-R1
mbpp_humaneval,15,Intern-S1-mini,Intern-S1-mini,0.439754,0.322779,1137,A,all tagged models are OSS/open-weights,base=Intern-S1-mini; teacher=none; InternLM open-weights family,Intern-S1-mini,none
mbpp_humaneval,16,NVIDIA-Nemotron-Nano-9B-v2,NVIDIA-Nemotron-Nano-9B-v2,0.430079,0.332454,1137,A,all tagged models are OSS/open-weights,base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,Llama-3.1,NVIDIA Nemotron alignment (uncertain)
mbpp_humaneval,17,granite-3.3-8b-instruct,granite-3.3-8b-instruct,0.386983,0.37555,1137,A,all tagged models are OSS/open-weights,base=Granite-3.3-8B; teacher=none; IBM Granite open-weights family,Granite-3.3-8B,none
mbpp_humaneval,18,MiniCPM4.1-8B,MiniCPM4.1-8B,0.33949,0.423043,1137,A,all tagged models are OSS/open-weights,base=MiniCPM4.1-8B; teacher=none; MiniCPM open-weights family,MiniCPM4.1-8B,none
mbpp_humaneval,19,DeepSeek-R1-0528-Qwen3-8B,DeepSeek-R1-0528-Qwen3-8B,0.335972,0.426561,1137,A,all tagged models are OSS/open-weights,base=Qwen3-8B; teacher=DeepSeek-R1-0528; DeepSeek R1 distill on Qwen3-8B,Qwen3-8B,DeepSeek-R1-0528
mbpp_humaneval,20,OpenThinker3-7B,OpenThinker3-7B,0.111697,0.650836,1137,A,all tagged models are OSS/open-weights,base=Qwen-family 7B (uncertain); teacher=DeepSeek-R1 (uncertain); open reasoning distill; exact base uncertain,Qwen-family 7B (uncertain),DeepSeek-R1 (uncertain)
